눈썹,eyebrow
교사,teacher
반,class of students in school
직장,location of work
벽,wall
털,"hair (not on head), fur"
머리카락,hair (on head)
저녁,"dinner, evening"
점심,"lunch, noonish"
옷,clothes
오전,morning
오후,afternoon
여름,summer
가을,fall
겨울,winter
봄,spring
찾다,"to search for, find"
가르치다,to teach
일하다,to work
짓다,to build
가지다,"to own, to possess"
잠그다,to lock
잊다,to forget
돕다,to help
주다,to give
맞다,to be correct
쉽다,to be easy
덥다,to be hot
그립다,to miss (a thing)
귀엽다,to be cute
춥다,to be cold
어렵다,to be difficult
더럽다,to be dirty
바쁘다,to be busy
같다,to be the same
안전하다,to be safe
딱딱하다,"to be hard, to be rigid"
부드럽다,to be soft
가능하다,to be possible
불가능하다,to be impossible
예쁘다,to be pretty
일찍,early
매일,everyday
